==========================================
SLURM_JOB_ID = 7964115
SLURM_JOB_NODELIST = d14-18
TMPDIR = /tmp/SLURM_7964115
==========================================
/home1/dpwani/.local/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
| TRAIN SET | Epoch [01/30], Step [0080/1733], Loss: 4.4489
| TRAIN SET | Epoch [01/30], Step [0081/1733], Loss: 4.6381
| TRAIN SET | Epoch [01/30], Step [0082/1733], Loss: 4.2065
| TRAIN SET | Epoch [01/30], Step [0083/1733], Loss: 4.4647
| TRAIN SET | Epoch [01/30], Step [0084/1733], Loss: 4.3771
| TRAIN SET | Epoch [01/30], Step [0085/1733], Loss: 4.4035
| TRAIN SET | Epoch [01/30], Step [0086/1733], Loss: 4.4660
| TRAIN SET | Epoch [01/30], Step [0087/1733], Loss: 4.3982
| TRAIN SET | Epoch [01/30], Step [0088/1733], Loss: 4.6701
| TRAIN SET | Epoch [01/30], Step [0089/1733], Loss: 4.5231
| TRAIN SET | Epoch [01/30], Step [0090/1733], Loss: 4.3809
| TRAIN SET | Epoch [01/30], Step [0091/1733], Loss: 4.1527
| TRAIN SET | Epoch [01/30], Step [0092/1733], Loss: 4.4634
| TRAIN SET | Epoch [01/30], Step [0093/1733], Loss: 4.3787
| TRAIN SET | Epoch [01/30], Step [0094/1733], Loss: 4.7894
| TRAIN SET | Epoch [01/30], Step [0095/1733], Loss: 4.5990
| TRAIN SET | Epoch [01/30], Step [0096/1733], Loss: 4.2533
| TRAIN SET | Epoch [01/30], Step [0097/1733], Loss: 4.6458
| TRAIN SET | Epoch [01/30], Step [0098/1733], Loss: 4.3652
| TRAIN SET | Epoch [01/30], Step [0099/1733], Loss: 3.9815
| TRAIN SET | Epoch [01/30], Step [0100/1733], Loss: 4.3196
| TRAIN SET | Epoch [01/30], Step [0101/1733], Loss: 4.5367
| TRAIN SET | Epoch [01/30], Step [0102/1733], Loss: 4.1052
| TRAIN SET | Epoch [01/30], Step [0103/1733], Loss: 4.6283
| TRAIN SET | Epoch [01/30], Step [0104/1733], Loss: 4.3482
| TRAIN SET | Epoch [01/30], Step [0105/1733], Loss: 4.6164
| TRAIN SET | Epoch [01/30], Step [0106/1733], Loss: 4.3605
| TRAIN SET | Epoch [01/30], Step [0107/1733], Loss: 4.5449
| TRAIN SET | Epoch [01/30], Step [0108/1733], Loss: 4.3412
| TRAIN SET | Epoch [01/30], Step [0109/1733], Loss: 4.2371
| TRAIN SET | Epoch [01/30], Step [0110/1733], Loss: 4.2987
| TRAIN SET | Epoch [01/30], Step [0111/1733], Loss: 4.4874
| TRAIN SET | Epoch [01/30], Step [0112/1733], Loss: 4.5651
| TRAIN SET | Epoch [01/30], Step [0113/1733], Loss: 4.5363
| TRAIN SET | Epoch [01/30], Step [0114/1733], Loss: 4.3999
| TRAIN SET | Epoch [01/30], Step [0115/1733], Loss: 4.4069
| TRAIN SET | Epoch [01/30], Step [0116/1733], Loss: 4.3071
| TRAIN SET | Epoch [01/30], Step [0117/1733], Loss: 4.5250
| TRAIN SET | Epoch [01/30], Step [0118/1733], Loss: 4.4930
| TRAIN SET | Epoch [01/30], Step [0119/1733], Loss: 4.2847
| TRAIN SET | Epoch [01/30], Step [0120/1733], Loss: 4.3522
| TRAIN SET | Epoch [01/30], Step [0121/1733], Loss: 4.1933
| TRAIN SET | Epoch [01/30], Step [0122/1733], Loss: 4.3587
| TRAIN SET | Epoch [01/30], Step [0123/1733], Loss: 4.2269
| TRAIN SET | Epoch [01/30], Step [0124/1733], Loss: 4.3669
| TRAIN SET | Epoch [01/30], Step [0125/1733], Loss: 4.5066
| TRAIN SET | Epoch [01/30], Step [0126/1733], Loss: 4.4105
| TRAIN SET | Epoch [01/30], Step [0127/1733], Loss: 4.1070
| TRAIN SET | Epoch [01/30], Step [0128/1733], Loss: 4.0691
| TRAIN SET | Epoch [01/30], Step [0129/1733], Loss: 4.4641
| TRAIN SET | Epoch [01/30], Step [0130/1733], Loss: 4.4380
| TRAIN SET | Epoch [01/30], Step [0131/1733], Loss: 4.2972
| TRAIN SET | Epoch [01/30], Step [0132/1733], Loss: 4.4348
| TRAIN SET | Epoch [01/30], Step [0133/1733], Loss: 4.2567
| TRAIN SET | Epoch [01/30], Step [0134/1733], Loss: 4.4543
| TRAIN SET | Epoch [01/30], Step [0135/1733], Loss: 4.2135
| TRAIN SET | Epoch [01/30], Step [0136/1733], Loss: 4.3806
| TRAIN SET | Epoch [01/30], Step [0137/1733], Loss: 4.3106
| TRAIN SET | Epoch [01/30], Step [0138/1733], Loss: 4.2810
| TRAIN SET | Epoch [01/30], Step [0139/1733], Loss: 4.1917
| TRAIN SET | Epoch [01/30], Step [0140/1733], Loss: 4.4367
| TRAIN SET | Epoch [01/30], Step [0141/1733], Loss: 4.2450
| TRAIN SET | Epoch [01/30], Step [0142/1733], Loss: 4.3397
| TRAIN SET | Epoch [01/30], Step [0143/1733], Loss: 4.3201
| TRAIN SET | Epoch [01/30], Step [0144/1733], Loss: 4.3621
| TRAIN SET | Epoch [01/30], Step [0145/1733], Loss: 4.0329
| TRAIN SET | Epoch [01/30], Step [0146/1733], Loss: 4.2697
| TRAIN SET | Epoch [01/30], Step [0147/1733], Loss: 4.2676
| TRAIN SET | Epoch [01/30], Step [0148/1733], Loss: 4.2857
| TRAIN SET | Epoch [01/30], Step [0149/1733], Loss: 4.4835
| TRAIN SET | Epoch [01/30], Step [0150/1733], Loss: 3.9444
| TRAIN SET | Epoch [01/30], Step [0151/1733], Loss: 4.1610
| TRAIN SET | Epoch [01/30], Step [0152/1733], Loss: 4.2914
| TRAIN SET | Epoch [01/30], Step [0153/1733], Loss: 4.4611
| TRAIN SET | Epoch [01/30], Step [0154/1733], Loss: 4.1103
| TRAIN SET | Epoch [01/30], Step [0155/1733], Loss: 4.4472
| TRAIN SET | Epoch [01/30], Step [0156/1733], Loss: 4.2488
| TRAIN SET | Epoch [01/30], Step [0157/1733], Loss: 4.2247
| TRAIN SET | Epoch [01/30], Step [0158/1733], Loss: 4.3615
| TRAIN SET | Epoch [01/30], Step [0159/1733], Loss: 4.5565
| TRAIN SET | Epoch [01/30], Step [0160/1733], Loss: 4.3110
| TRAIN SET | Epoch [01/30], Step [0161/1733], Loss: 4.1280
| TRAIN SET | Epoch [01/30], Step [0162/1733], Loss: 4.1991
| TRAIN SET | Epoch [01/30], Step [0163/1733], Loss: 4.0721
| TRAIN SET | Epoch [01/30], Step [0164/1733], Loss: 4.2408
| TRAIN SET | Epoch [01/30], Step [0165/1733], Loss: 4.0706
| TRAIN SET | Epoch [01/30], Step [0166/1733], Loss: 4.4497
| TRAIN SET | Epoch [01/30], Step [0167/1733], Loss: 4.0607
| TRAIN SET | Epoch [01/30], Step [0168/1733], Loss: 4.1949
| TRAIN SET | Epoch [01/30], Step [0169/1733], Loss: 4.1132
| TRAIN SET | Epoch [01/30], Step [0170/1733], Loss: 4.3144
| TRAIN SET | Epoch [01/30], Step [0171/1733], Loss: 4.2576
| TRAIN SET | Epoch [01/30], Step [0172/1733], Loss: 4.2393
| TRAIN SET | Epoch [01/30], Step [0173/1733], Loss: 4.1351
| TRAIN SET | Epoch [01/30], Step [0174/1733], Loss: 4.4203
| TRAIN SET | Epoch [01/30], Step [0175/1733], Loss: 4.0852
| TRAIN SET | Epoch [01/30], Step [0176/1733], Loss: 4.0877
| TRAIN SET | Epoch [01/30], Step [0177/1733], Loss: 4.4055
| TRAIN SET | Epoch [01/30], Step [0178/1733], Loss: 3.9768
| TRAIN SET | Epoch [01/30], Step [0179/1733], Loss: 4.4784
| TRAIN SET | Epoch [01/30], Step [0180/1733], Loss: 4.2366
| TRAIN SET | Epoch [01/30], Step [0181/1733], Loss: 4.0419
| TRAIN SET | Epoch [01/30], Step [0182/1733], Loss: 4.1550
| TRAIN SET | Epoch [01/30], Step [0183/1733], Loss: 4.1158
| TRAIN SET | Epoch [01/30], Step [0184/1733], Loss: 4.1448
| TRAIN SET | Epoch [01/30], Step [0185/1733], Loss: 4.1505
| TRAIN SET | Epoch [01/30], Step [0186/1733], Loss: 4.1544
| TRAIN SET | Epoch [01/30], Step [0187/1733], Loss: 3.9642
| TRAIN SET | Epoch [01/30], Step [0188/1733], Loss: 4.2693
| TRAIN SET | Epoch [01/30], Step [0189/1733], Loss: 4.2329
| TRAIN SET | Epoch [01/30], Step [0190/1733], Loss: 4.0610
| TRAIN SET | Epoch [01/30], Step [0191/1733], Loss: 3.9614
| TRAIN SET | Epoch [01/30], Step [0192/1733], Loss: 4.3936
| TRAIN SET | Epoch [01/30], Step [0193/1733], Loss: 3.8811
| TRAIN SET | Epoch [01/30], Step [0194/1733], Loss: 4.3739
| TRAIN SET | Epoch [01/30], Step [0195/1733], Loss: 4.2502
| TRAIN SET | Epoch [01/30], Step [0196/1733], Loss: 4.2471
| TRAIN SET | Epoch [01/30], Step [0197/1733], Loss: 4.2375
| TRAIN SET | Epoch [01/30], Step [0198/1733], Loss: 4.3582
| TRAIN SET | Epoch [01/30], Step [0199/1733], Loss: 4.1455
| TRAIN SET | Epoch [01/30], Step [0200/1733], Loss: 4.5119
| TRAIN SET | Epoch [01/30], Step [0201/1733], Loss: 4.3984
| TRAIN SET | Epoch [01/30], Step [0202/1733], Loss: 4.5209
| TRAIN SET | Epoch [01/30], Step [0203/1733], Loss: 4.0655
